Protein	Gene	ProteinName	EntrezID	ProteinRef	Comparison	log2FC	pvalue	adj.pvalue	imputed	iLog2FC	iPvalue	Cal33	HSC6	CMA	Species
Q9H8T0	AKTIP	AKT interacting protein	64400	Q9H8T0	Cal33-HSC6	0.416665670951419	0.0721074073866557	0.131135194749323	no	0.416665670951419	0.131135194749323	4	4	Cal33	human
Q9H8U3	ZFAND3	zinc finger AN1-type containing 3	60685	Q9H8U3	Cal33-HSC6	-1.61916968521275	0.136393319010514	0.214675680693071	no	-1.61916968521275	0.214675680693071	4	1	HSC6	human
Q9H8V3	ECT2	epithelial cell transforming 2	1894	Q9H8V3	Cal33-HSC6	-0.0259948528872159	0.922330727747907	0.944884503587302	no	-0.0259948528872159	0.944884503587302	4	4	HSC6	human
Q9H8W4	PLEKHF2	pleckstrin homology and FYVE domain containing 2	79666	Q9H8W4	Cal33-HSC6	2.32050057815716	0.00837246798419389	0.0259402120765713	no	2.32050057815716	0.0259402120765713	4	4	Cal33	human
Q9H8Y5	ANKZF1	ankyrin repeat and zinc finger peptidyl tRNA hydrolase 1	55139	Q9H8Y5	Cal33-HSC6	1.37523648818168	0.022692341078389	0.0539599805777376	no	1.37523648818168	0.0539599805777376	4	4	Cal33	human
Q9H8Y8	GORASP2	golgi reassembly stacking protein 2	26003	Q9H8Y8	Cal33-HSC6	0.459496514979971	0.0134264878184609	0.0362902692818162	no	0.459496514979971	0.0362902692818162	4	4	Cal33	human
Q9H910	JPT2	Jupiter microtubule associated homolog 2	90861	Q9H910	Cal33-HSC6	-0.937198081243343	0.000119087645421789	0.0016216058255581	no	-0.937198081243343	0.0016216058255581	4	4	HSC6	human
Q9H930	SP140L	SP140 nuclear body protein like	93349	Q9H930	Cal33-HSC6	-2.72505402561544	3.87455166173112e-07	9.33253130186123e-05	no	-2.72505402561544	9.33253130186123e-05	3	4	HSC6	human
Q9H972	C14orf93	chromosome 14 open reading frame 93	60686	Q9H972	Cal33-HSC6	0.945208021448459	0.015903501070639	0.0413024040855746	no	0.945208021448459	0.0413024040855746	2	3	Cal33	human
Q9H981	ACTR8	actin related protein 8	93973	Q9H981	Cal33-HSC6	-0.372401858573585	0.381403987208302	0.482667048994926	no	-0.372401858573585	0.482667048994926	4	4	HSC6	human
Q9H9A7	RMI1	RecQ mediated genome instability 1	80010	Q9H9A7	Cal33-HSC6	-2.72937586718715	1.77342412193138e-05	0.000537769752783762	no	-2.72937586718715	0.000537769752783762	3	4	HSC6	human
Q9H9B1	EHMT1	euchromatic histone lysine methyltransferase 1	79813	Q9H9B1	Cal33-HSC6	0.00845916422317482	0.979528942165935	0.98478691249016	no	0.00845916422317482	0.98478691249016	4	4	Cal33	human
Q9H9D4	ZNF408	zinc finger protein 408	79797	Q9H9D4	Cal33-HSC6	-0.767745335065436	0.297273012912131	0.395695766941036	no	-0.767745335065436	0.395695766941036	3	3	HSC6	human
Q9H9E1	ANKRA2	ankyrin repeat family A member 2	57763	Q9H9E1	Cal33-HSC6	Inf	NA	0	yes	4.75955347562125	0.0425548	3	0	Cal33	human
Q9H9E3	COG4	component of oligomeric golgi complex 4	25839	Q9H9E3	Cal33-HSC6	-1.20084997263415	0.000574076210090979	0.00413542681658298	no	-1.20084997263415	0.00413542681658298	4	4	HSC6	human
Q9H9J4	USP42	ubiquitin specific peptidase 42	84132	Q9H9J4	Cal33-HSC6	0.864582674270869	0.00372446369933499	0.0144537664393552	no	0.864582674270869	0.0144537664393552	4	4	Cal33	human
Q9H9L4	KANSL2	KAT8 regulatory NSL complex subunit 2	54934	Q9H9L4	Cal33-HSC6	-0.632078590097926	0.295356329268992	0.393808439025322	no	-0.632078590097926	0.393808439025322	4	3	HSC6	human
Q9H9L7	AKIRIN1	akirin 1	79647	Q9H9L7	Cal33-HSC6	-0.583275595454041	0.53329554005615	0.627008660162253	no	-0.583275595454041	0.627008660162253	3	4	HSC6	human
Q9HA82	CERS4	ceramide synthase 4	79603	Q9HA82	Cal33-HSC6	-0.828849451639578	0.0735488546115106	0.133056564251733	no	-0.828849451639578	0.133056564251733	2	3	HSC6	human
Q9HA90	EFCC1	EF-hand and coiled-coil domain containing 1	79825	Q9HA90	Cal33-HSC6	-Inf	NA	0	yes	-2.01080218738655	0.0104694	0	2	HSC6	human
Q9HAF1	MEAF6	MYST/Esa1 associated factor 6	64769	Q9HAF1	Cal33-HSC6	0.087926376877455	0.762945680938132	0.820404947013513	no	0.087926376877455	0.820404947013513	2	4	Cal33	human
Q9HAH7	FBRS	fibrosin	64319	Q9HAH7	Cal33-HSC6	-0.125920960241329	0.746668744131239	0.808554376481077	no	-0.125920960241329	0.808554376481077	4	4	HSC6	human
Q9HAJ7	SAP30L	SAP30 like	79685	Q9HAJ7	Cal33-HSC6	-1.33092695893278	0.0173176660388403	0.0441115589341341	no	-1.33092695893278	0.0441115589341341	2	4	HSC6	human
Q9HAN9	NMNAT1	nicotinamide nucleotide adenylyltransferase 1	64802	Q9HAN9	Cal33-HSC6	-0.018459136277193	0.970865276436372	0.979789236188085	no	-0.018459136277193	0.979789236188085	4	4	HSC6	human
Q9HAP2	MLXIP	MLX interacting protein	22877	Q9HAP2	Cal33-HSC6	-2.28625177864052	0.294706444915357	0.393601225088295	no	-2.28625177864052	0.393601225088295	3	2	HSC6	human
Q9HAS0	C17orf75	chromosome 17 open reading frame 75	64149	Q9HAS0	Cal33-HSC6	-0.394378743116616	0.0117385648650785	0.032699554269825	no	-0.394378743116616	0.032699554269825	3	4	HSC6	human
Q9HAU0	PLEKHA5	pleckstrin homology domain containing A5	54477	Q9HAU0	Cal33-HSC6	-2.16460966564525	6.07494166291467e-05	0.00105285573494917	no	-2.16460966564525	0.00105285573494917	4	4	HSC6	human
Q9HAW0	BRF2	BRF2 RNA polymerase III transcription initiation factor subunit	55290	Q9HAW0	Cal33-HSC6	-0.0635786863806311	0.643688392120441	0.723950491173255	no	-0.0635786863806311	0.723950491173255	3	4	HSC6	human
Q9HAW4	CLSPN	claspin	63967	Q9HAW4	Cal33-HSC6	0.366098011615695	0.373950749679441	0.475604009409132	no	0.366098011615695	0.475604009409132	4	4	Cal33	human
Q9HAZ1	CLK4	CDC like kinase 4	57396	Q9HAZ1	Cal33-HSC6	-0.393884679906238	0.0576323564945973	0.111145622700665	no	-0.393884679906238	0.111145622700665	1	4	HSC6	human
Q9HB09	BCL2L12	BCL2 like 12	83596	Q9HB09	Cal33-HSC6	1.35486679528715	0.000182008760001295	0.00199048109910633	no	1.35486679528715	0.00199048109910633	4	4	Cal33	human
Q9HB19	PLEKHA2	pleckstrin homology domain containing A2	59339	Q9HB19	Cal33-HSC6	0.031255906853703	0.96883102437612	0.978999182553902	no	0.031255906853703	0.978999182553902	4	4	Cal33	human
Q9HB20	PLEKHA3	pleckstrin homology domain containing A3	65977	Q9HB20	Cal33-HSC6	1.58571517489089	0.00219612975900807	0.0101931153829179	no	1.58571517489089	0.0101931153829179	4	3	Cal33	human
Q9HB21	PLEKHA1	pleckstrin homology domain containing A1	59338	Q9HB21	Cal33-HSC6	-Inf	NA	0	yes	-5.02927345858955	0.0394245	0	3	HSC6	human
Q9HB58	SP110	SP110 nuclear body protein	3431	Q9HB58	Cal33-HSC6	-1.65240060990123	0.00251795400489674	0.0110887490340127	no	-1.65240060990123	0.0110887490340127	4	4	HSC6	human
Q9HB90	RRAGC	Ras related GTP binding C	64121	Q9HB90	Cal33-HSC6	0.226487526435923	0.491032599845441	0.587320735502586	no	0.226487526435923	0.587320735502586	3	3	Cal33	human
Q9HB96	FANCE	FA complementation group E	2178	Q9HB96	Cal33-HSC6	0.722477873979531	0.00726363888065196	0.0233274932368499	no	0.722477873979531	0.0233274932368499	4	3	Cal33	human
Q9HBD1	RC3H2	ring finger and CCCH-type domains 2	54542	Q9HBD1	Cal33-HSC6	1.19724587989489	0.0623185633803951	0.118135795349841	no	1.19724587989489	0.118135795349841	4	2	Cal33	human
Q9HBM0	VEZT	vezatin, adherens junctions transmembrane protein	55591	Q9HBM0	Cal33-HSC6	-0.441879916790237	0.0375936293874384	0.0793228071369144	no	-0.441879916790237	0.0793228071369144	3	4	HSC6	human
Q9HC35	EML4	EMAP like 4	27436	Q9HC35	Cal33-HSC6	0.0469346354394574	0.699646353057817	0.770554821216219	no	0.0469346354394574	0.770554821216219	4	4	Cal33	human
Q9HC44	GPBP1L1	GC-rich promoter binding protein 1 like 1	60313	Q9HC44	Cal33-HSC6	-Inf	NA	0	yes	-3.74895016639568	0.0223756	0	3	HSC6	human
Q9HC52	CBX8	chromobox 8	57332	Q9HC52	Cal33-HSC6	0.776986999460963	0.00305496303053632	0.0126653675640985	no	0.776986999460963	0.0126653675640985	4	4	Cal33	human
Q9HC62	SENP2	SUMO specific peptidase 2	59343	Q9HC62	Cal33-HSC6	0.415267133446632	0.0581619581738568	0.111759730589456	no	0.415267133446632	0.111759730589456	4	4	Cal33	human
Q9HC98	NEK6	NIMA related kinase 6	10783	Q9HC98	Cal33-HSC6	2.31277325986856	0.00414502226080371	0.0156556949921696	no	2.31277325986856	0.0156556949921696	4	1	Cal33	human
Q9HCD5	NCOA5	nuclear receptor coactivator 5	57727	Q9HCD5	Cal33-HSC6	-1.00820004040572	0.000263533579517583	0.0024975382833478	no	-1.00820004040572	0.0024975382833478	4	4	HSC6	human
Q9HCD6	TANC2	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2	26115	Q9HCD6	Cal33-HSC6	-0.740975484316168	0.00862899364534453	0.0263478487457263	no	-0.740975484316168	0.0263478487457263	4	4	HSC6	human
Q9HCE1	MOV10	Mov10 RISC complex RNA helicase	4343	Q9HCE1	Cal33-HSC6	0.981769160382715	0.260045303555114	0.355510625384064	no	0.981769160382715	0.355510625384064	3	2	Cal33	human
Q9HCE5	METTL14	methyltransferase like 14	57721	Q9HCE5	Cal33-HSC6	-1.83765881854547	0.011811875453108	0.0328142006140353	no	-1.83765881854547	0.0328142006140353	4	4	HSC6	human
Q9HCE9	ANO8	anoctamin 8	57719	Q9HCE9	Cal33-HSC6	0.0314445447891763	0.793021821961431	0.844757939486516	no	0.0314445447891763	0.844757939486516	4	3	Cal33	human
Q9HCG8	CWC22	CWC22 spliceosome associated protein homolog	57703	Q9HCG8	Cal33-HSC6	-1.73727781375848	0.00151419530920682	0.00798211566972603	no	-1.73727781375848	0.00798211566972603	4	4	HSC6	human
Q9HCH0	NCKAP5L	NCK associated protein 5 like	57701	Q9HCH0	Cal33-HSC6	0.645796922453677	0.145683856683338	0.225123426091046	no	0.645796922453677	0.225123426091046	3	1	Cal33	human
Q9HCI7	MSL2	MSL complex subunit 2	55167	Q9HCI7	Cal33-HSC6	1.94118701694071	6.11024299823626e-05	0.00105285573494917	no	1.94118701694071	0.00105285573494917	4	4	Cal33	human
Q9HCK4	ROBO2	roundabout guidance receptor 2	6092	Q9HCK4	Cal33-HSC6	-Inf	NA	0	yes	-3.48057430572443	0.0441032	0	2	HSC6	human
Q9HCK8	CHD8	chromodomain helicase DNA binding protein 8	57680	Q9HCK8	Cal33-HSC6	-0.111505939778185	0.65304629402363	0.730604146230231	no	-0.111505939778185	0.730604146230231	4	4	HSC6	human
Q9HCM1	RESF1	retroelement silencing factor 1	55196	Q9HCM1	Cal33-HSC6	0.257270763631933	0.453174428331296	0.553686638452358	no	0.257270763631933	0.553686638452358	3	4	Cal33	human
Q9HCM4	EPB41L5	erythrocyte membrane protein band 4.1 like 5	57669	Q9HCM4	Cal33-HSC6	-0.352631369840358	0.213681579691235	0.305643373646403	no	-0.352631369840358	0.305643373646403	3	4	HSC6	human
Q9HCM7	FBRSL1	fibrosin like 1	57666	Q9HCM7	Cal33-HSC6	-0.803806266769356	0.0010813268190395	0.00633787174577888	no	-0.803806266769356	0.00633787174577888	4	4	HSC6	human
Q9HCS5	EPB41L4A	erythrocyte membrane protein band 4.1 like 4A	64097	Q9HCS5	Cal33-HSC6	Inf	NA	0	yes	6.04656350873185	0.0307294	4	0	Cal33	human
Q9HD20	ATP13A1	ATPase 13A1	57130	Q9HD20	Cal33-HSC6	-0.548867296218083	0.263088773339647	0.35828684957803	no	-0.548867296218083	0.35828684957803	4	4	HSC6	human
Q9HD43	Q9HD43	NA	NA	Q9HD43	Cal33-HSC6	-0.719765029058279	0.0239577215693645	0.0561305264730365	no	-0.719765029058279	0.0561305264730365	2	3	HSC6	human
Q9HDC5	JPH1	junctophilin 1	56704	Q9HDC5	Cal33-HSC6	0.267971320132038	0.17373325159682	0.258851976174204	no	0.267971320132038	0.258851976174204	4	4	Cal33	human
Q9NNX1	TUFT1	tuftelin 1	7286	Q9NNX1	Cal33-HSC6	-0.417304139960096	0.377238831978685	0.47891883613243	no	-0.417304139960096	0.47891883613243	2	3	HSC6	human
Q9NP56	PDE7B	phosphodiesterase 7B	27115	Q9NP56	Cal33-HSC6	-0.0536925214308083	0.889531236862417	0.923465098849017	no	-0.0536925214308083	0.923465098849017	3	4	HSC6	human
Q9NP64	ZCCHC17	zinc finger CCHC-type containing 17	51538	Q9NP64	Cal33-HSC6	1.23764979259922	0.00840834439739302	0.026006303908721	no	1.23764979259922	0.026006303908721	4	4	Cal33	human
Q9NP66	HMG20A	high mobility group 20A	10363	Q9NP66	Cal33-HSC6	0.565938498241029	0.0851358926732646	0.149501255199945	no	0.565938498241029	0.149501255199945	4	4	Cal33	human
Q9NP72	RAB18	RAB18, member RAS oncogene family	22931	Q9NP72	Cal33-HSC6	-1.01338412752987	0.00939854941620277	0.0279672722814856	no	-1.01338412752987	0.0279672722814856	4	4	HSC6	human
Q9NP74	PALMD	palmdelphin	54873	Q9NP74	Cal33-HSC6	Inf	NA	0	yes	6.5648316886832	0.0426759	4	0	Cal33	human
Q9NP87	POLM	DNA polymerase mu	27434	Q9NP87	Cal33-HSC6	0.448518900680612	0.228744487292086	0.322124036947369	no	0.448518900680612	0.322124036947369	3	3	Cal33	human
Q9NPC7	MYNN	myoneurin	55892	Q9NPC7	Cal33-HSC6	-Inf	NA	0	yes	-6.13310266483815	0.0174983	0	4	HSC6	human
Q9NPD8	UBE2T	ubiquitin conjugating enzyme E2 T	29089	Q9NPD8	Cal33-HSC6	0.795301569016855	0.268522736248329	0.364284785775322	no	0.795301569016855	0.364284785775322	3	2	Cal33	human
Q9NPE2	NGRN	neugrin, neurite outgrowth associated	51335	Q9NPE2	Cal33-HSC6	0.74902658922852	0.0464352845939655	0.0937539290724072	no	0.74902658922852	0.0937539290724072	3	3	Cal33	human
Q9NPF5	DMAP1	DNA methyltransferase 1 associated protein 1	55929	Q9NPF5	Cal33-HSC6	-2.39625513397991	0.0947739592819659	0.16188856564044	no	-2.39625513397991	0.16188856564044	3	4	HSC6	human
Q9NPG3	UBN1	ubinuclein 1	29855	Q9NPG3	Cal33-HSC6	-2.91359428739015	3.19095271983372e-07	9.33253130186123e-05	no	-2.91359428739015	9.33253130186123e-05	4	4	HSC6	human
Q9NPH3	IL1RAP	interleukin 1 receptor accessory protein	3556	Q9NPH3	Cal33-HSC6	1.74927632414833	0.000549679996342256	0.00399584727934645	no	1.74927632414833	0.00399584727934645	4	4	Cal33	human
Q9NPI1	BRD7	bromodomain containing 7	29117	Q9NPI1	Cal33-HSC6	0.156553303414072	0.595895054183412	0.68298410817854	no	0.156553303414072	0.68298410817854	4	4	Cal33	human
Q9NPI6	DCP1A	decapping mRNA 1A	55802	Q9NPI6	Cal33-HSC6	1.4526611755115	0.0063032800935352	0.0210594373744135	no	1.4526611755115	0.0210594373744135	4	4	Cal33	human
Q9NPQ8	RIC8A	RIC8 guanine nucleotide exchange factor A	60626	Q9NPQ8	Cal33-HSC6	-0.261690876666757	0.179919680448264	0.266077223663387	no	-0.261690876666757	0.266077223663387	4	4	HSC6	human
Q9NPR2	SEMA4B	semaphorin 4B	10509	Q9NPR2	Cal33-HSC6	0.288478868457413	0.0413354383393645	0.085517891924975	no	0.288478868457413	0.085517891924975	4	4	Cal33	human
Q9NQ29	LUC7L	LUC7 like	55692	Q9NQ29	Cal33-HSC6	-1.14854330599504	0.00454990103588138	0.0168061309724435	no	-1.14854330599504	0.0168061309724435	4	4	HSC6	human
Q9NQ55	PPAN	peter pan homolog	56342	Q9NQ55	Cal33-HSC6	-1.62787895024437	9.81445572811879e-07	0.000153739791840006	no	-1.62787895024437	0.000153739791840006	4	4	HSC6	human
Q9NQA3	Q9NQA3	NA	NA	Q9NQA3	Cal33-HSC6	-2.13556033660761	0.00342368497277912	0.0137389974033522	no	-2.13556033660761	0.0137389974033522	3	2	HSC6	human
Q9NQB0	TCF7L2	transcription factor 7 like 2	6934	Q9NQB0	Cal33-HSC6	-1.56089648320285	0.00268672427746997	0.0116546731600332	no	-1.56089648320285	0.0116546731600332	2	4	HSC6	human
Q9NQC1	JADE2	jade family PHD finger 2	23338	Q9NQC1	Cal33-HSC6	-0.78506295509633	0.138297870349698	0.216702962201496	no	-0.78506295509633	0.216702962201496	4	4	HSC6	human
Q9NQC3	RTN4	reticulon 4	57142	Q9NQC3	Cal33-HSC6	-1.04962140722514	0.056368265412396	0.109237101079166	no	-1.04962140722514	0.109237101079166	4	4	HSC6	human
Q9NQC7	CYLD	CYLD lysine 63 deubiquitinase	1540	Q9NQC7	Cal33-HSC6	Inf	NA	0	yes	7.93169283892813	0.0389598	4	0	Cal33	human
Q9NQG5	RPRD1B	regulation of nuclear pre-mRNA domain containing 1B	58490	Q9NQG5	Cal33-HSC6	-0.484380420122435	0.0205814867075644	0.0502156733156208	no	-0.484380420122435	0.0502156733156208	4	4	HSC6	human
Q9NQG6	MIEF1	mitochondrial elongation factor 1	54471	Q9NQG6	Cal33-HSC6	0.914740290215473	0.0192620868201336	0.0477521104067796	no	0.914740290215473	0.0477521104067796	4	4	Cal33	human
Q9NQP4	PFDN4	prefoldin subunit 4	5203	Q9NQP4	Cal33-HSC6	1.48699239708464	4.16751670750948e-05	0.000855026172860818	no	1.48699239708464	0.000855026172860818	4	4	Cal33	human
Q9NQR1	KMT5A	lysine methyltransferase 5A	387893	Q9NQR1	Cal33-HSC6	-1.83568188077147	0.0779336864121438	0.138781240232811	no	-1.83568188077147	0.138781240232811	3	1	HSC6	human
Q9NQS7	INCENP	inner centromere protein	3619	Q9NQS7	Cal33-HSC6	-0.337638617921547	0.00493318899901452	0.0176486222166991	no	-0.337638617921547	0.0176486222166991	4	4	HSC6	human
Q9NQT4	EXOSC5	exosome component 5	56915	Q9NQT4	Cal33-HSC6	-0.0707261839901963	0.885628618620638	0.921104216895894	no	-0.0707261839901963	0.921104216895894	4	4	HSC6	human
Q9NQT5	EXOSC3	exosome component 3	51010	Q9NQT5	Cal33-HSC6	-Inf	NA	0	yes	-3.28753692196248	0.0454699	0	3	HSC6	human
Q9NQT8	KIF13B	kinesin family member 13B	23303	Q9NQT8	Cal33-HSC6	0.756284100521527	0.0478618752503246	0.0956553572037792	no	0.756284100521527	0.0956553572037792	4	2	Cal33	human
Q9NQU5	PAK6	p21 (RAC1) activated kinase 6	56924	Q9NQU5	Cal33-HSC6	0.204199340173975	0.533469365697093	0.627008660162253	no	0.204199340173975	0.627008660162253	4	4	Cal33	human
Q9NQV5	PRDM11	PR/SET domain 11	56981	Q9NQV5	Cal33-HSC6	-0.176472116294042	0.576044571529709	0.663576669953181	no	-0.176472116294042	0.663576669953181	3	3	HSC6	human
Q9NQW6	ANLN	anillin actin binding protein	54443	Q9NQW6	Cal33-HSC6	-1.03526927236093	0.000241209640876594	0.0023704058535527	no	-1.03526927236093	0.0023704058535527	4	4	HSC6	human
Q9NQX3	GPHN	gephyrin	10243	Q9NQX3	Cal33-HSC6	-1.01046459511761	0.105841858229312	0.176723491148279	no	-1.01046459511761	0.176723491148279	3	4	HSC6	human
Q9NQX5	NPDC1	neural proliferation, differentiation and control 1	56654	Q9NQX5	Cal33-HSC6	1.86391722216286	9.96849109338172e-05	0.00146942942783923	no	1.86391722216286	0.00146942942783923	4	4	Cal33	human
Q9NQZ2	UTP3	UTP3 small subunit processome component	57050	Q9NQZ2	Cal33-HSC6	-1.43857107857157	0.00089052017514657	0.00555948340864801	no	-1.43857107857157	0.00555948340864801	4	4	HSC6	human
Q9NR12	PDLIM7	PDZ and LIM domain 7	9260	Q9NR12	Cal33-HSC6	-0.850643044007558	0.00649192260003773	0.0214422007868466	no	-0.850643044007558	0.0214422007868466	4	4	HSC6	human
Q9NR19	ACSS2	acyl-CoA synthetase short chain family member 2	55902	Q9NR19	Cal33-HSC6	1.40158390834658	0.000659959070020921	0.00451894554612175	no	1.40158390834658	0.00451894554612175	4	4	Cal33	human
Q9NR30	DDX21	DExD-box helicase 21	9188	Q9NR30	Cal33-HSC6	-0.903341971718425	0.0022085793355362	0.0102020816017526	no	-0.903341971718425	0.0102020816017526	4	4	HSC6	human
Q9NR33	POLE4	DNA polymerase epsilon 4, accessory subunit	56655	Q9NR33	Cal33-HSC6	-0.26609505915152	0.386281612852885	0.48726087218371	no	-0.26609505915152	0.48726087218371	2	1	HSC6	human
Q9NR45	NANS	N-acetylneuraminate synthase	54187	Q9NR45	Cal33-HSC6	1.48455588464963	0.00023935539869302	0.00235946622117206	no	1.48455588464963	0.00235946622117206	4	4	Cal33	human
Q9NR48	ASH1L	ASH1 like histone lysine methyltransferase	55870	Q9NR48	Cal33-HSC6	-0.548996900546655	0.0447452044212557	0.0911278556733803	no	-0.548996900546655	0.0911278556733803	4	4	HSC6	human
Q9NR56	MBNL1	muscleblind like splicing regulator 1	4154	Q9NR56	Cal33-HSC6	Inf	NA	0	yes	3.3772144305101	0.0178172	3	0	Cal33	human
Q9NRA2	SLC17A5	solute carrier family 17 member 5	26503	Q9NRA2	Cal33-HSC6	1.53467306440593	0.000366769180276005	0.00304906806788199	no	1.53467306440593	0.00304906806788199	2	4	Cal33	human
Q9NRA8	EIF4ENIF1	eukaryotic translation initiation factor 4E nuclear import factor 1	56478	Q9NRA8	Cal33-HSC6	0.493011035244792	0.0213712409327373	0.0517067105849815	no	0.493011035244792	0.0517067105849815	4	4	Cal33	human
Q9NRF2	SH2B1	SH2B adaptor protein 1	25970	Q9NRF2	Cal33-HSC6	2.65299372916201	0.00783012334161515	0.0246598543221589	no	2.65299372916201	0.0246598543221589	4	2	Cal33	human
Q9NRF8	CTPS2	CTP synthase 2	56474	Q9NRF8	Cal33-HSC6	1.1313174723727	0.100370443551987	0.169604013378578	no	1.1313174723727	0.169604013378578	3	1	Cal33	human
Q9NRF9	POLE3	DNA polymerase epsilon 3, accessory subunit	54107	Q9NRF9	Cal33-HSC6	0.710279100335692	0.712323763888006	0.781812776359673	no	0.710279100335692	0.781812776359673	3	1	Cal33	human
Q9NRG9	AAAS	aladin WD repeat nucleoporin	8086	Q9NRG9	Cal33-HSC6	-0.0173265880757356	0.959630553740443	0.972767807421067	no	-0.0173265880757356	0.972767807421067	4	4	HSC6	human
Q9NRH2	SNRK	SNF related kinase	54861	Q9NRH2	Cal33-HSC6	1.42105666805055	0.149187792493643	0.228922376530005	no	1.42105666805055	0.228922376530005	2	1	Cal33	human
Q9NRJ5	PAPOLB	poly(A) polymerase beta	56903	Q9NRJ5	Cal33-HSC6	-Inf	NA	0	yes	-3.38284361343958	0.0369631	0	2	HSC6	human
Q9NRL2	BAZ1A	bromodomain adjacent to zinc finger domain 1A	11177	Q9NRL2	Cal33-HSC6	0.448211866255873	0.00397554196493433	0.0152507537546396	no	0.448211866255873	0.0152507537546396	4	4	Cal33	human
Q9NRL3	STRN4	striatin 4	29888	Q9NRL3	Cal33-HSC6	0.511925215419172	0.315329066651634	0.415222393804302	no	0.511925215419172	0.415222393804302	4	2	Cal33	human
Q9NRM7	LATS2	large tumor suppressor kinase 2	26524	Q9NRM7	Cal33-HSC6	-0.255670756943454	0.441677320129325	0.541928265421496	no	-0.255670756943454	0.541928265421496	4	4	HSC6	human
Q9NRP7	STK36	serine/threonine kinase 36	27148	Q9NRP7	Cal33-HSC6	0.658444003677226	0.876389085874619	0.915793518025857	no	0.658444003677226	0.915793518025857	2	1	Cal33	human
Q9NRR3	CDC42SE2	CDC42 small effector 2	56990	Q9NRR3	Cal33-HSC6	0.70572505601075	0.0723852941727934	0.131399530585048	no	0.70572505601075	0.131399530585048	1	4	Cal33	human
Q9NRR4	DROSHA	drosha ribonuclease III	29102	Q9NRR4	Cal33-HSC6	-Inf	NA	0	yes	-7.16249810356425	0.0208359	0	4	HSC6	human
Q9NRR5	UBQLN4	ubiquilin 4	56893	Q9NRR5	Cal33-HSC6	0.657068188659782	0.0626317887005943	0.118561007861291	no	0.657068188659782	0.118561007861291	2	3	Cal33	human
Q9NRR8	CDC42SE1	CDC42 small effector 1	56882	Q9NRR8	Cal33-HSC6	0.380327347083976	0.0552999602889233	0.107823070153051	no	0.380327347083976	0.107823070153051	2	4	Cal33	human
Q9NRX5	SERINC1	serine incorporator 1	57515	Q9NRX5	Cal33-HSC6	-1.96367175657615	0.00282757263476974	0.0120521971473987	no	-1.96367175657615	0.0120521971473987	2	4	HSC6	human
Q9NRY4	ARHGAP35	Rho GTPase activating protein 35	2909	Q9NRY4	Cal33-HSC6	2.23235462326717	0.00013977810682575	0.00171174420051226	no	2.23235462326717	0.00171174420051226	4	4	Cal33	human
Q9NRZ9	HELLS	helicase, lymphoid specific	3070	Q9NRZ9	Cal33-HSC6	-0.110769526860994	0.91370903149514	0.938467598800169	no	-0.110769526860994	0.938467598800169	4	4	HSC6	human
Q9NS23	RASSF1	Ras association domain family member 1	11186	Q9NS23	Cal33-HSC6	0.598790598178934	0.0476106429431213	0.0954611379917496	no	0.598790598178934	0.0954611379917496	4	3	Cal33	human
Q9NS56	TOPORS	TOP1 binding arginine/serine rich protein, E3 ubiquitin ligase	10210	Q9NS56	Cal33-HSC6	0.127139821006429	0.586896542450468	0.673640443822023	no	0.127139821006429	0.673640443822023	4	4	Cal33	human
Q9NS69	TOMM22	translocase of outer mitochondrial membrane 22	56993	Q9NS69	Cal33-HSC6	3.01311316694352	7.29824276346491e-06	0.000336776883461917	no	3.01311316694352	0.000336776883461917	4	4	Cal33	human
Q9NS73	MBIP	MAP3K12 binding inhibitory protein 1	51562	Q9NS73	Cal33-HSC6	0.69889558802291	0.0361423422422495	0.0770178383615124	no	0.69889558802291	0.0770178383615124	4	2	Cal33	human
Q9NS91	RAD18	RAD18 E3 ubiquitin protein ligase	56852	Q9NS91	Cal33-HSC6	0.0497941448181071	0.628236157512019	0.711273928028283	no	0.0497941448181071	0.711273928028283	4	4	Cal33	human
Q9NSI2	FAM207A	family with sequence similarity 207 member A	85395	Q9NSI2	Cal33-HSC6	-0.94719330480252	0.244727018429148	0.339266406081943	no	-0.94719330480252	0.339266406081943	3	4	HSC6	human
Q9NSI6	BRWD1	bromodomain and WD repeat domain containing 1	54014	Q9NSI6	Cal33-HSC6	1.58126123556286	2.24172129614786e-06	0.000195061575321574	no	1.58126123556286	0.000195061575321574	4	4	Cal33	human
Q9NSK0	KLC4	kinesin light chain 4	89953	Q9NSK0	Cal33-HSC6	1.25046936782303	0.0418651761562645	0.0862774892437192	no	1.25046936782303	0.0862774892437192	4	4	Cal33	human
Q9NSV4	DIAPH3	diaphanous related formin 3	81624	Q9NSV4	Cal33-HSC6	0.682977987613083	0.0737059523724293	0.133265049604665	no	0.682977987613083	0.133265049604665	4	3	Cal33	human
Q9NTI5	PDS5B	PDS5 cohesin associated factor B	23047	Q9NTI5	Cal33-HSC6	-0.974327322214068	4.89087639787833e-06	0.00028359537854137	no	-0.974327322214068	0.00028359537854137	4	4	HSC6	human
Q9NTJ3	SMC4	structural maintenance of chromosomes 4	10051	Q9NTJ3	Cal33-HSC6	-0.686247781907333	0.0117569427312798	0.0327221203290165	no	-0.686247781907333	0.0327221203290165	4	4	HSC6	human
